City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,hanzhong,76,CN,1529982107,96,33.08,107.03,74.69,3.27
77,arraial do cabo,0,BR,1529982108,90,-22.97,-42.02,71.81,16.69
78,karasburg,92,NA,1529982108,66,-28.01,18.75,43.55,2.93
79,kahului,40,US,1529978160,69,20.89,-156.47,82.4,25.28
80,ohangaron,0,UZ,1529980200,34,40.91,69.65,78.8,4.7
81,ponta do sol,20,BR,1529982109,75,-20.63,-46.0,60.65,2.93
82,sitrah,0,BH,1529980200,55,26.15,50.62,89.6,4.7
83,pisco,90,PE,1529978400,88,-13.71,-76.2,62.6,6.93
84,alice springs,0,AU,1529978400,38,-23.7,133.88,59.0,10.29
85,dauriya,92,RU,1529982110,93,49.93,116.85,65.06,8.63
86,hofn,8,IS,1529982110,97,64.25,-15.21,45.44,19.15
87,souillac,0,FR,1529980200,72,45.6,-0.6,62.6,8.05
88,haines junction,0,CA,1529982111,35,60.75,-137.51,53.63,3.04
89,yumen,0,CN,1529982111,42,40.29,97.04,79.37,6.96
90,jamestown,80,AU,1529982111,64,-33.21,138.6,47.33,5.06
91,port elizabeth,1,US,1529978160,64,39.31,-74.98,73.4,5.82
92,puerto ayora,20,EC,1529982112,99,-0.74,-90.35,71.36,11.77
93,luderitz,36,NA,1529982112,95,-26.65,15.16,49.49,10.42
94,torbay,90,CA,1529978400,100,47.66,-52.73,37.4,20.8
95,muros,75,ES,1529980200,100,42.77,-9.06,59.0,2.24
96,parrita,75,CR,1529978400,94,9.52,-84.33,68.0,2.82
97,saint-philippe,1,CA,1529980500,87,45.36,-73.48,62.6,6.96
98,ambilobe,0,MG,1529982114,84,-13.19,49.05,65.42,5.39
99,waddan,0,LY,1529982114,58,29.16,16.14,73.61,10.76
100,talara,0,PE,1529982114,81,-4.58,-81.27,68.12,9.31
101,goderich,0,CA,1529982115,47,43.74,-81.71,59.21,11.21
102,fortuna,0,ES,1529980200,88,38.18,-1.13,69.8,2.24
103,tezu,36,IN,1529982115,88,27.93,96.16,74.33,0.92
104,banda aceh,48,ID,1529982116,69,5.56,95.32,84.23,2.93
105,college,40,US,1529978280,27,64.86,-147.8,73.4,3.36
106,mbuyapey,44,PY,1529982116,89,-26.22,-56.76,54.98,4.16
107,calvinia,0,ZA,1529982116,69,-31.47,19.78,33.11,2.71
108,borogontsy,64,RU,1529982117,64,62.67,131.17,70.91,2.93
109,kruisfontein,0,ZA,1529982117,94,-34.0,24.73,56.33,14.79
110,avarua,40,CK,1529978400,83,-21.21,-159.78,82.4,10.29
111,tautira,75,PF,1529980200,61,-17.73,-149.15,82.4,10.29
112,wyndham,8,GB,1529979600,72,51.61,-3.54,60.8,6.93
113,lucea,20,JM,1529978400,78,18.44,-78.17,82.4,19.46
114,la ligua,0,CL,1529978400,93,-32.45,-71.23,46.4,4.38
115,wukari,20,NG,1529982118,96,7.87,9.78,72.8,5.61
116,powell river,75,CA,1529980920,93,49.84,-124.52,60.8,9.17
117,maceio,0,BR,1529978400,94,-9.67,-35.74,68.0,4.7
118,bambous virieux,40,MU,1529978400,53,-20.34,57.76,73.4,14.99
119,redlands,1,US,1529980500,12,34.06,-117.19,86.0,4.7
120,caravelas,76,BR,1529982120,100,-17.73,-39.27,75.59,9.98
121,maua,68,KE,1529982120,92,0.23,37.94,61.01,4.94
122,hearst,0,CA,1529982120,57,49.69,-83.67,57.14,6.62
123,deputatskiy,0,RU,1529982120,79,69.3,139.9,44.9,12.66
124,mahebourg,40,MU,1529978400,53,-20.41,57.7,73.4,14.99
125,nalut,0,LY,1529982121,71,31.86,10.98,65.42,6.85
126,nanortalik,24,GL,1529982121,100,60.14,-45.24,35.72,23.4
127,constantine,0,DZ,1529980200,82,36.36,6.61,57.2,2.15
128,itarema,8,BR,1529982122,85,-2.92,-39.92,76.22,11.88
129,nelson bay,20,AU,1529978400,63,-32.72,152.14,60.8,4.7
130,nagapattinam,12,IN,1529982122,60,10.76,79.84,86.39,11.88
131,ginda,0,IN,1529982123,81,30.69,78.49,66.14,0.47
132,abha,0,SA,1529978400,42,18.22,42.5,68.0,1.59
133,middelburg,0,ZA,1529982136,64,-25.77,29.46,29.24,4.27
134,portland,40,US,1529978160,43,45.52,-122.67,69.8,8.05
135,maralal,48,KE,1529982140,100,1.1,36.7,55.43,2.37
136,barabai,92,ID,1529982140,100,-2.59,115.38,73.34,2.93
137,gamboma,32,CG,1529982141,95,-1.87,15.88,68.39,3.04
138,ban phai,90,TH,1529978400,100,16.55,102.46,75.2,3.36
139,vila franca do campo,20,PT,1529980200,82,37.72,-25.43,66.2,2.24
140,guerrero negro,0,MX,1529982142,75,27.97,-114.04,66.41,11.54
141,vaitape,56,PF,1529982142,99,-16.52,-151.75,80.99,13.0
142,puerto baquerizo moreno,76,EC,1529982142,99,-0.9,-89.6,72.71,11.54
143,aklavik,90,CA,1529978400,54,68.22,-135.01,57.2,3.36
144,iqaluit,90,CA,1529978400,86,63.75,-68.52,37.4,17.22
145,ilulissat,75,GL,1529977800,74,69.22,-51.1,35.6,4.7
146,dalvik,20,SE,1529979600,93,57.79,14.13,44.6,2.37
147,haverfordwest,32,GB,1529977800,87,51.8,-4.97,53.6,2.24
148,copiapo,0,CL,1529978400,81,-27.37,-70.33,53.6,2.24
149,rorvik,92,NO,1529982144,100,64.86,11.24,49.58,14.34
150,port moresby,40,PG,1529978400,66,-9.47,147.16,86.0,17.22
151,narsaq,48,GL,1529977800,70,60.91,-46.05,44.6,4.7
152,dunedin,48,NZ,1529982088,91,-45.87,170.5,39.5,13.44
153,jiujiang,20,CN,1529982145,76,29.73,115.99,88.73,9.19
154,saldanha,0,PT,1529982057,88,41.42,-6.55,62.54,2.71
155,lebu,64,ET,1529982145,90,8.96,38.73,47.33,2.71
156,kangaatsiaq,88,GL,1529982146,98,68.31,-53.46,35.27,7.74
157,kankan,24,GN,1529982146,95,10.38,-9.3,68.84,5.17
158,carnarvon,0,ZA,1529982146,62,-30.97,22.13,36.35,9.42
159,garowe,24,SO,1529982147,51,8.41,48.48,79.46,12.88
160,dodge city,1,US,1529978040,53,37.75,-100.02,75.2,6.93
161,ribeira grande,88,PT,1529982147,100,38.52,-28.7,71.72,5.17
162,shahr-e babak,0,IR,1529982147,20,30.12,55.12,73.43,10.09
163,vestmannaeyjar,92,IS,1529982148,93,63.44,-20.27,46.16,18.59
164,qaanaaq,76,GL,1529982148,100,77.48,-69.36,30.77,3.49
165,mayumba,92,GA,1529982148,98,-3.44,10.65,72.53,6.73
166,nikolskoye,36,RU,1529980200,87,59.7,30.79,53.6,2.24
167,suntar,0,RU,1529982149,53,62.16,117.65,76.67,7.18
168,port keats,0,AU,1529982149,45,-14.25,129.55,85.4,18.48
169,glinka,80,RU,1529982150,84,54.64,32.87,60.02,3.15
170,gejiu,92,CN,1529982150,99,23.36,103.16,66.14,2.82
171,manono,8,CD,1529982150,74,-7.3,27.4,68.75,2.37
172,petropavlovsk-kamchatskiy,0,RU,1529980200,72,53.05,158.65,60.8,15.66
173,ahipara,92,NZ,1529982151,100,-35.17,173.16,55.07,26.87
174,kaitangata,92,NZ,1529982151,95,-46.28,169.85,42.56,15.23
175,dawson creek,1,CA,1529978580,66,55.76,-120.23,55.4,23.04
176,mar del plata,92,AR,1529982152,74,-46.43,-67.52,43.46,19.04
177,umm lajj,0,SA,1529982152,99,25.02,37.27,75.68,2.93
178,ryotsu,0,JP,1529978400,65,38.08,138.43,77.0,5.82
179,leningradskiy,92,RU,1529982153,68,69.38,178.42,43.28,8.41
180,dandong,100,CN,1529982153,98,40.12,124.37,66.5,9.86
181,plettenberg bay,0,ZA,1529982153,100,-34.05,23.37,59.57,9.64
182,dikson,64,RU,1529982153,100,73.51,80.55,34.37,6.62
183,margate,20,AU,1529978400,66,-43.03,147.26,53.6,9.17
184,hithadhoo,88,MV,1529982154,100,-0.6,73.08,83.06,10.98
185,forestville,40,CA,1529978400,87,48.74,-69.09,48.2,4.7
186,salinopolis,20,BR,1529982154,97,-0.61,-47.36,80.99,13.67
187,antalaha,80,MG,1529982155,100,-14.9,50.28,70.46,11.65
188,prince rupert,90,CA,1529978400,82,54.32,-130.32,57.2,8.05
189,belyy yar,0,RU,1529980200,44,53.6,91.39,80.6,8.95
190,sciacca,40,IT,1529978100,77,37.51,13.08,69.8,6.93
191,verkhoyansk,100,RU,1529982156,100,67.55,133.39,51.83,10.42
192,enid,20,US,1529978160,78,36.4,-97.88,80.6,5.82
193,takoradi,64,GH,1529982157,100,4.89,-1.75,74.87,5.95
194,xiaoshi,12,CN,1529982166,70,30.59,116.63,87.38,9.75
195,hastings,20,NZ,1529982167,100,-39.64,176.84,48.41,28.32
196,susanville,1,US,1529980500,17,40.42,-120.65,82.4,9.17
197,taoudenni,0,ML,1529982170,12,22.68,-3.98,84.59,13.44
198,namibe,0,AO,1529982170,100,-15.19,12.15,67.94,10.87
199,samarai,92,PG,1529982171,100,-10.62,150.67,78.11,20.94
200,tawang,80,BT,1529982171,68,27.59,91.87,59.93,1.25
201,aykhal,44,RU,1529982171,75,65.95,111.51,67.04,3.6
202,inirida,76,CO,1529982171,100,3.87,-67.92,71.45,2.15
203,edd,24,ER,1529982172,52,13.93,41.69,75.59,2.37
204,arlit,0,NE,1529982172,50,18.74,7.39,75.32,2.26
205,kevsala,64,RU,1529982172,45,45.79,42.68,77.93,5.39
206,bay roberts,90,CA,1529978400,100,47.58,-53.28,37.4,20.8
207,dangriga,40,BZ,1529978400,79,16.97,-88.23,84.2,10.29
208,goalpara,92,IN,1529982173,100,26.18,90.62,76.94,2.71
209,ngaoundere,8,CM,1529982173,94,7.32,13.58,58.31,2.26
210,cherskiy,0,RU,1529982173,66,68.75,161.3,41.21,10.09
211,tuatapere,92,NZ,1529982174,100,-46.13,167.69,46.16,16.8
212,omboue,64,GA,1529982174,100,-1.57,9.26,75.14,10.2
213,madimba,75,CM,1529978400,100,4.42,9.93,77.0,3.38
214,san-pedro,92,CI,1529982174,94,4.75,-6.64,75.59,5.17
215,moose factory,1,CA,1529978400,52,51.26,-80.61,66.2,8.05
216,paredon,76,BO,1529982175,69,-18.93,-65.16,38.42,1.92
217,yerbogachen,0,RU,1529982175,51,61.28,108.01,83.06,3.71
218,hami,76,CN,1529982175,30,42.84,93.51,91.61,10.98
219,polovinnoye,20,RU,1529982176,76,54.79,65.99,63.44,9.98
220,nizhnyaya poyma,0,RU,1529982176,56,56.16,97.2,79.37,4.38
221,helong,12,CN,1529982176,66,25.94,116.13,85.31,5.61
222,bonthe,92,SL,1529982177,100,7.53,-12.5,75.41,4.16
223,tutoia,24,BR,1529982177,91,-2.76,-42.27,74.96,6.29
224,zhanaozen,0,KZ,1529982177,26,43.35,52.85,79.91,13.56
225,crestview,1,US,1529978280,74,30.76,-86.57,84.2,5.39
226,tilichiki,64,RU,1529982178,80,60.47,166.1,53.36,6.51
227,sur,0,OM,1529982178,78,22.57,59.53,90.35,5.39
228,adrar,0,DZ,1529978400,10,27.87,-0.29,86.0,5.82
229,victoria,75,BN,1529980200,83,5.28,115.24,86.0,2.24
230,lompoc,75,US,1529980500,82,34.64,-120.46,68.0,13.87
231,san cristobal,40,EC,1529978400,87,-0.39,-78.55,50.0,13.87
232,henties bay,12,NA,1529982180,100,-22.12,14.28,53.09,3.15
233,krasnyy yar,88,RU,1529982180,44,50.7,44.73,78.56,8.19
234,north battleford,1,CA,1529978400,57,52.78,-108.3,78.8,16.11
235,yendi,76,GH,1529982181,96,9.45,0.0,71.72,1.92
236,kaeo,76,NZ,1529982181,79,-35.1,173.78,54.26,23.96
237,jinji,68,CN,1529982181,93,22.16,112.49,79.19,3.49
238,ishigaki,20,JP,1529978400,74,24.34,124.16,86.0,9.17
239,swan hill,88,AU,1529982182,100,-35.34,143.56,43.91,5.39
240,panalingaan,48,PH,1529982182,88,8.78,117.42,83.87,3.71
241,flinders,40,AU,1529978400,55,-34.58,150.85,60.8,2.24
242,iberia,0,PE,1529982183,94,-11.41,-69.49,72.44,3.15
243,dakar,20,SN,1529978400,88,14.69,-17.45,75.2,9.17
244,faya,0,SA,1529978400,42,18.39,42.45,68.0,1.59
245,saskylakh,32,RU,1529982184,65,71.97,114.09,53.27,12.77
246,richards bay,0,ZA,1529982184,98,-28.77,32.06,52.46,3.27
247,salaberry-de-valleyfield,20,CA,1529978400,42,45.26,-74.13,62.6,5.82
248,katsuura,75,JP,1529978400,69,33.93,134.5,82.4,5.82
249,tessalit,12,ML,1529982185,42,20.2,1.01,83.24,10.65
250,acapulco,75,MX,1529981280,78,16.86,-99.88,82.4,2.93
251,sao geraldo do araguaia,0,BR,1529982186,79,-6.4,-48.55,69.65,3.15
252,komsomolskiy,92,RU,1529982186,93,67.55,63.78,60.83,9.75
253,east london,24,ZA,1529982186,100,-33.02,27.91,67.13,17.81
254,grayvoron,0,UA,1529980200,76,50.48,35.67,55.4,8.95
255,rawson,24,AR,1529982187,43,-43.3,-65.11,53.0,14.45
256,krasnoborsk,0,RU,1529982187,85,61.56,45.93,68.48,5.73
257,nacozari,80,MX,1529982188,53,25.34,-108.26,84.23,4.94
258,geraldton,75,CA,1529978400,38,49.72,-86.95,59.0,6.93
259,carutapera,88,BR,1529982188,86,-1.2,-46.02,78.74,8.63
260,lakes entrance,0,AU,1529982188,90,-37.88,147.99,53.36,2.15
261,pavullo nel frignano,0,IT,1529979600,87,44.33,10.84,62.6,4.7
262,yazd,0,IR,1529980200,25,31.89,54.36,80.6,1.48
263,batagay-alyta,92,RU,1529982189,94,67.8,130.41,44.18,13.33
264,bagdarin,92,RU,1529982190,93,54.44,113.59,53.99,4.05
265,tiarei,75,PF,1529980200,61,-17.53,-149.33,82.4,10.29
266,sistranda,75,NO,1529977800,87,63.73,8.83,51.8,9.17
267,kajaani,0,FI,1529979600,93,64.22,27.73,55.4,3.36
268,nyurba,0,RU,1529982200,51,63.29,118.35,74.96,7.96
269,nazas,36,MX,1529982200,30,25.22,-104.11,70.91,4.94
270,pangnirtung,92,CA,1529982203,98,66.15,-65.72,32.39,6.06
271,chapais,1,CA,1529978400,57,49.78,-74.86,50.0,2.24
272,sao filipe,0,CV,1529982147,100,14.9,-24.5,72.62,16.13
273,sefophe,0,BW,1529982204,80,-22.18,27.97,42.56,4.16
274,goundam,44,ML,1529982204,68,16.42,-3.66,80.72,2.15
275,stykkisholmur,92,IS,1529982205,100,65.08,-22.73,44.54,21.27
276,nemuro,75,JP,1529978400,77,43.32,145.57,59.0,5.82
277,khatanga,64,RU,1529982205,64,71.98,102.47,70.82,12.44
278,saint-leu,0,RE,1529980200,52,-21.15,55.28,69.8,12.75
279,adiake,20,CI,1529980200,94,5.29,-3.3,77.0,4.7
280,aras,92,YE,1529982206,47,14.28,44.38,62.81,1.59
281,yelizovo,20,RU,1529980200,72,53.19,158.38,60.8,15.66
282,mecca,0,SA,1529978400,59,21.43,39.83,89.6,2.71
283,deniliquin,48,AU,1529982207,100,-35.53,144.96,48.14,5.28
284,alihe,92,CN,1529982207,100,50.57,123.73,58.4,3.49
285,manokwari,64,ID,1529982207,100,-0.87,134.08,81.62,4.61
286,kununurra,0,AU,1529978400,21,-15.77,128.74,78.8,13.87
287,huntsville,1,US,1529980500,88,34.73,-86.59,78.8,3.38
288,georgetown,40,GY,1529978400,94,6.8,-58.16,77.0,4.7
289,auckland,92,NZ,1529978400,81,-36.85,174.77,51.8,25.28
